V_mps,q_Pa,CL,CLw,CLt,CDp,CDiw,CDit,CDtotal,Drag_N,Preq_W,Pavail_W,ExcessP_W,ROC_mps,gamma_deg,Range_km,V_mph,Range_nmi
10.72896,70.50523189248,4.15361811251188,4.36129901813747,-0.485945721748286,0.047289538149309,0.901645537614575,0.00944834063349881,0.958383416397382,15.8107266241889,169.632653521858,800,630.367346478142,9.1992962374661,59.0288636686529,35.5470819702067,23.99999686656,19.1938887528114
11.1369965100671,75.9700233999638,3.8548337240027,4.04757541020284,-0.450989933472072,0.0470729447549915,0.776593959054091,0.00813792555162298,0.831804829360706,14.7861426480506,164.673219068694,800,635.326780931306,9.27167198306879,56.357548007491,38.0102646576772,24.9127484252435,20.5239010030654
11.5450330201342,81.6387698045437,3.58716586392212,3.76652415711823,-0.41967457227797,0.0468663196355225,0.672489680945726,0.00704701716252962,0.726403017743779,13.8760317719333,160.199244995401,800,639.800755004599,9.3369631392318,53.9732876400385,40.5033084786795,25.825499983927,21.8700369755289
11.9530695302013,87.5114711062195,3.34643909551009,3.5137610502856,-0.391511139807436,0.0466688715566504,0.58525961748821,0.00613293361345688,0.638061422658317,13.0652783460303,156.170180501534,800,643.829819498466,9.39576148601487,51.8182918528992,43.0167027776593,26.7382515426105,23.2271613270298
12.3611060402685,93.5881273049913,3.12915555261716,3.28561333024802,-0.36609040896146,0.0464798965041978,0.511725446960332,0.00536236928150521,0.563567712746035,12.3412188898438,152.551115363523,800,647.448884636477,9.44857648744737,49.8518242484412,45.5404932312715,27.651003101294,24.5898991529544
12.7691425503356,99.8687384008591,2.9323671541738,3.07898551188249,-0.343067473842513,0.0462987655488792,0.449385857759518,0.00470911293058934,0.500393736238987,11.6931796580985,149.311877920944,800,650.688122079056,9.49584845510918,48.0437822032169,48.0643598877163,28.5637546599774,25.9526781251168
13.1771790604027,106.353304393823,2.75357507587196,2.89125382966556,-0.322149988609206,0.0461249147280239,0.396256639712985,0.00415237202881198,0.446533926469821,11.1121128436896,146.426300680698,800,653.573699319302,9.5379592655714,46.3711113177767,50.5777076982924,29.4765062186609,27.3097773748879
13.5852155704698,113.041825283883,2.59065003134914,2.7201825329166,-0.303088840904504,0.0459578365577335,0.350752039851268,0.00367552947600343,0.400385405885005,10.5903080852368,143.871618295631,800,656.128381704369,9.57524114602439,44.8156550166349,53.0697682064652,30.3892577773444,28.6553824008991
13.9932520805369,119.934301071039,2.44176858163367,2.56385701071535,-0.285670700483991,0.0457970728722971,0.311595883187978,0.00326521223866403,0.360658168298939,10.1211619772637,141.627970895797,800,658.372029104203,9.60798392243693,43.3627907217472,55.5297105787963,31.3020093360279,29.9836450209483
14.401288590604,127.03073175529,2.3053618928969,2.42062998754175,-0.269712024213343,0.0456422087511505,0.277754387950927,0.00291058732099126,0.326307184023069,9.69899262811952,139.67799187569,800,660.32200812431,9.63644103520304,42.0005250225048,57.9467597169974,32.2147608947114,31.2887471474068
14.8093251006711,134.331117336638,2.18007423761361,2.28907794949429,-0.255054200979811,0.0454928673424439,0.248384947858674,0.00260282505452358,0.296480640255642,9.31888947733266,138.006463847043,800,661.993536152957,9.6608345600115,40.7188706745406,60.3103188084423,33.1275124533949,32.5649669592021
15.2173616107383,141.835457815082,2.06472917792715,2.16796563682351,-0.241559595370646,0.0453487054300813,0.222796774249347,0.00233468666713727,0.270480166346565,8.97659091343072,136.600029961342,800,663.399970038658,9.6813594206745,39.5094041080356,62.6100933794001,34.0402640120784,33.8067458852052
15.6253981208054,149.543753190622,1.9583018479024,2.05621694029752,-0.229108304880836,0.0452094096206067,0.200420423687973,0.00210020496294365,0.247730038271524,8.66838396259601,135.446950479567,800,664.553049520433,9.69818694163899,38.3649427447865,64.8362137329985,34.9530155707619,35.0087547154419
16.0334346308725,157.456003463257,1.85989610922516,1.95289091468641,-0.217595487281731,0.0450746930495251,0.180784037033465,0.00189443533154977,0.22775316541454,8.39102161357964,134.536896527567,800,665.463103472433,9.71146785782746,37.2793042962565,66.9793525986175,35.8657671294454,36.1659571266833
16.4414711409396,165.572208632989,1.76872562511138,1.85716190636695,-0.206929146394168,0.0449442925250259,0.163494687002831,0.001713260289245,0.210152239817102,8.14165432209187,133.86077457618,800,666.13922542382,9.72133487609581,36.2471236569258,69.0308348996778,36.7785186881289,37.2736689523098
16.8495076510067,173.892368699817,1.684098102781,1.76830300792005,-0.1970282885626,0.0448179660417246,0.148223642526984,0.00155323506423381,0.194594843632942,7.91777298186755,133.410576436912,800,666.589423563089,9.72790486432858,35.2637112031196,70.9827367626809,37.6912702468124,38.3276116429163
17.2575441610738,182.416483663741,1.60540211242799,1.68567221804939,-0.187821380562176,0.0446954906087813,0.134694656982917,0.00141146486905911,0.180801612460758,7.71716121983509,133.17925054943,800,666.82074945057,9.73128072981118,34.3249414675578,72.8279712329998,38.6040218054958,39.323958549136
17.6655806711409,191.14455352476,1.53209601223359,1.60870081284527,-0.179245053898872,0.044576660346229,0.122674606283956,0.00128550679718069,0.168536773427366,7.53785531291117,133.160591117621,800,666.83940888238,9.73155303712817,33.427164501664,74.560358614991,39.5167733641793,40.2593729022629
18.0736171812081,200.076578282876,1.46369860344877,1.53688353362121,-0.171243011516225,0.0444612848110204,0.111965964448979,0.00117329097448978,0.157600540234489,7.37811036584115,133.349142272916,800,666.650857727084,9.72880140676031,32.5671344568087,76.1746798910207,40.4295249228628,41.1310366582185
